,mcap,EP,FCP,ShYield,ROA,ROE,GPA,AssetGrowth,Accruals_est,Accruals_dolt,Accruals,ret_1y,vol_1y,dd_1y,ret_2y,vol_2y,dd_2y,ret_5y,vol_5y,dd_5y,downside_dev,beta_spy,max_dd_monthly,EP_z,FCP_z,ShYield_z,GPA_z,AssetGrowth_z,Accruals_z,Score
TPR,,0.007711840363765607,,,0.02101670610167061,,0.6067426686742668,-0.24556952742613594,,-0.017775,-0.017775,0.7383884257832918,0.39244439380042967,-0.17215507772987948,2.539895201786091,0.4155442292544714,-0.17215507772987948,3.235914753987748,0.40485215484485026,-0.3848252817052725,0.40109982756267404,1.493865750926512,-0.7371898824105039,-0.8809348187841205,,,1.8777191601655698,-2.0042520320414305,0.3037006870172059,2.697335686405674
C,,0.06475740537816374,,,0.005683363643670699,,,0.09023870945751025,,-0.0591,-0.0591,0.464795408904481,0.2708058097818176,-0.15444536921861263,1.335680402688459,0.2342857240988708,-0.15444536921861274,1.192750135027684,0.291436018698102,-0.4530490526529516,0.30318237471052467,1.5859273693687768,-0.469279496541973,0.6340146122092125,,,,0.06965582467906926,-2.1272328228070916,2.691591610337235
KMB,,0.0709885620250698,,,0.14553730516417865,,0.39816131881953076,-0.029456018518518517,,-0.0303249999999999,-0.0303249999999999,-0.23849335138337913,0.24489244144032485,-0.27484512319980303,-0.1102757071889231,0.20673905506555412,-0.27484512319980325,-0.12227850170054166,0.20096361611753588,-0.27484512319980314,0.17443840723523274,0.3733066769588356,-0.2748451231998029,0.7994943863910977,,,0.7125537091865809,-0.6695631982406097,-0.434550142947578,2.6161614367658665
CF,,0.09039212971181301,,,0.0957934040870381,,0.1688524288630971,-0.0018148820326678765,,-0.046225,-0.046225,-0.04157889562027639,0.25819014518552247,-0.14724381022429278,0.17282446645216787,0.2303724117478511,-0.14724381022429256,1.5087206583295747,0.3294862838149066,-0.42541146529142126,0.3430131157467333,1.004206846673695,-0.47979858098122485,1.3147916547914185,,,-0.5683987650670164,-0.4988551457560251,-1.3698639434607438,2.615111978941171
VRSK,,0.029990715798740963,,,0.1954451610838148,,0.44221094804453476,0.0056628704461083494,,-0.0481249999999999,-0.0481249999999999,-0.2634080880158327,0.20160416296185268,-0.31215361499499783,-0.09700788896496704,0.21540864121430972,-0.31215361499499783,0.120691923235549,0.25525368679280264,-0.3121536149949977,0.213379223077995,0.7965070128341134,-0.31215361499499783,-0.2892784883600373,,,0.9586212801230705,-0.45267352210002587,-1.4816310013836937,2.6036473152467527
DECK,,0.08025147657276555,,,0.2679848892622075,,0.7997743299964826,0.16122706935021547,,-0.0070999999999999,-0.0070999999999999,-0.5860379670989184,0.38158324880945393,-0.6005711546145347,-0.26695480882470324,0.4752293190336984,-0.6005711546145347,0.9117797592007424,0.37750316845855714,-0.6005711546145348,0.3011129951076892,0.9680800411159877,-0.6005711546145347,1.0454880428625464,,,2.956021812221285,0.5080706732350175,0.931655078242242,2.561784103606572
MO,,0.09881771979778804,,,0.2557408539247359,,0.42233475945167204,-0.05976095617529881,,-0.01135,-0.01135,0.05299605969082877,0.23822614620736218,-0.1475799048729266,0.5769220399261463,0.20234990133895908,-0.1475799048729266,1.1050333076953156,0.22958465746478868,-0.24264429533501775,0.23626937035872903,0.5025897791760722,-0.4077976725945369,1.5385486270172042,,,0.8475900289509252,-0.8567225391998319,0.6816498170987814,2.56121137806918
TRV,,0.09500859169120583,,,0.038671131366481946,,,0.07391253914859065,,-0.04095,-0.04095,0.02273036548510654,0.14720368376572207,-0.052182003310401015,0.5358028707996574,0.1729240241742138,-0.11207272529864587,1.2879740198216512,0.1959475804773694,-0.15234391668578828,0.19874924499016447,0.6503704842563124,-0.32345204559773144,1.4373902555260822,,,,-0.031172473006663377,-1.0595632958062204,2.528126024338966
FI,,0.10193429631894012,,,0.042383059319349894,,0.16189350299936345,-0.12723594206621922,,-0.027025,-0.027025,-0.7051955222195405,0.5314970312633572,-0.7236200147868276,-0.501263309966743,0.44872970501542697,-0.7236200147868276,-0.43445043221864565,0.34793242556056225,-0.7236200147868276,0.3248564300933276,0.8319254020692092,-0.7236200147868277,1.621315023075773,,,-0.6072723268595424,-1.27343924832502,-0.24042841076560728,2.527910355306858
XYZ,,0.09811574294178352,,,0.0808296977870738,,0.2565041095045961,-0.018329462587824197,,-0.03075,-0.03075,-0.16092602494514685,0.4220911505695027,-0.4017837259016098,0.1713700566653642,0.4466700227742597,-0.4017837259016096,-0.6478005276491408,0.5602585201223922,-0.8498526545294589,0.5615701121984936,2.6786664237021416,-0.8498526545294588,1.5199063462666125,,,-0.07876385727279214,-0.600847040539861,-0.45955066906192926,2.5015401985956105
CL,,0.04734595680265092,,,0.1738350986748734,,0.7237850516156984,0.060072815533980584,,-0.016425,-0.016425,-0.20528850826840384,0.1254784469444286,-0.18505815132238235,-0.0035988046566681753,0.15171479062245927,-0.2753350139332288,-0.015082662559613103,0.15924621622715138,-0.27533501393322934,0.15662813607384274,0.4463958981191506,-0.27533501393322934,0.17162171443380736,,,2.5315347625604363,-0.1166448003252011,0.3831141229098327,2.4366871544096123
ULTA,,0.05034497491204146,,,0.19552439717667155,,0.7397348047703437,0.1556870280098609,,-0.0233249999999999,-0.0233249999999999,0.33827325954937204,0.3145960107916054,-0.15765757358411092,0.21465293677698116,0.32481194449323975,-0.35678868691076515,0.8788308066203867,0.29994277561498167,-0.3601363708459975,0.3557510799965342,1.2830348140435093,-0.49692198440016533,0.25126613161528616,,,2.620632380062569,0.47385610074882,-0.022776771652476224,2.420819182581511
EXPE,,0.0373823105476724,,,0.04502290585843876,,0.5081156518309518,0.041825976132545475,,-0.0388,-0.0388,0.17532306955734578,0.3347800224363588,-0.20560044868130034,0.5933922710272397,0.32394778803430885,-0.25647271610007927,0.7430166763920896,0.4346184241514267,-0.5533119060544907,0.3879333382326397,1.5985807775832601,-0.6293963106202439,-0.09298115558402435,,,1.3267744441639429,-0.22933489972876447,-0.9330900460512964,2.3962182343599796
CCL,,0.08045977268070784,,,0.05294907509469507,,0.20760767180391607,0.020600341331191648,,-0.04505,-0.04505,0.12898146834191304,0.4636439372965568,-0.3371882868803986,0.9063743880827442,0.45295451750269006,-0.3371882868803986,0.4369369240365455,0.630306826497817,-0.7621786083620206,0.5022459187605021,2.377660090553131,-0.8933455778349934,1.0510197274049933,,,-0.3519063981780872,-0.3604216508666176,-1.3007448418504943,2.360279821944018
VZ,,0.10869014105197886,,,0.047578200799725925,,0.2126282425120495,0.010916638972849509,,-0.030525,-0.030525,-0.048545948049007914,0.1787757836251813,-0.09227931252081922,0.17398019868934522,0.1896671845495245,-0.09810552868852418,-0.11840633919822796,0.19075869475758686,-0.3638498458948105,0.1730033682971246,0.37299878252921725,-0.37830771524730533,1.8007288501035728,,,-0.3238607673611987,-0.4202269331595209,-0.44631509641315814,2.3434101123150533
