,sector,mcap,EP,FCP,EP_sn,FCP_sn,EP_use,FCP_use,ShYield,GPA,AssetGrowth,Accruals,EP_z,FCP_z,ShYield_z,GPA_z,Accruals_z,AssetGrowth_z,Value,Quality,Stability,Score2,beta_spy,downside_dev,max_dd_monthly,ret_5y,vol_5y,dd_5y
EME,Industrials,,0.03785381923709911,,-0.003683499030879285,,-0.003683499030879285,,,0.38685850210819117,0.18775847293528825,-0.0134,-0.12161333205647419,,,1.2920326601278596,0.6402021600059121,1.6329667283473097,-0.12161333205647419,0.6518305001219474,-1.6329667283473097,-0.11450647844327264,1.182333176927092,0.21788375400538212,-0.3098267146816943,6.671175498327231,0.30400826771324124,-0.2750447604914342
EMN,Basic Materials,,0.11188809269463294,,0.07035077442665455,,0.07035077442665455,,,0.14766055273473033,0.01833389093342255,-0.01065,2.0721708985650764,,,-0.15931523276504495,2.118169903790401,-0.2946742895739453,2.0721708985650764,-2.277485136555446,0.2946742895739453,-0.0231908372813587,1.3921714717986204,0.2933495307580995,-0.5277801343791051,-0.2557277137631079,0.27398267482596356,-0.44626226583154416
EMR,Industrials,,0.03598733340270036,,-0.005549984865278031,,-0.005549984865278031,,,0.21873230970347415,-0.06730284084676977,-0.023075,-0.24576370074969572,,,-0.4755864537685297,-0.4685697559748995,-1.4721787756611548,-0.24576370074969572,-0.007016697793630178,1.4721787756611548,0.1933235957149006,1.4163236093379128,0.2503277156984528,-0.3709925726383848,0.8620950392336972,0.28292455163782987,-0.29006714557650826
EOG,Energy,,0.0911678177225451,,0.04963049945456671,,0.04963049945456671,,,0.326511363697261,0.02343888200955245,-0.069675,1.435364467267703,,,2.1069206949620067,-1.5988523772726033,-0.7245664095259615,1.435364467267703,3.70577307223461,0.7245664095259615,2.201368297706118,1.3121284001627638,0.37007645533674993,-0.722578330374511,1.8618806949355489,0.3244016016995096,-0.21780262901008607
EPAM,Technology,,0.03673702160802914,,-0.0048002966599492505,,-0.0048002966599492505,,,0.32672219653944445,0.11539877665225702,-0.009225,0.24787885927890863,,,-0.009077540845595752,1.1510725184140214,-0.16506098994728458,0.24787885927890863,-1.160150059259617,0.16506098994728458,-0.33189628200282645,1.5403233484597338,0.44627292456963924,-0.7760234159090308,-0.45614739442662433,0.5434338509626334,-0.7760234159090308
EQIX,Real Estate,,0.012318884510457715,,-0.02921843375752068,,-0.02921843375752068,,,0.12323050374352874,0.18247397577159555,-0.0417499999999999,-0.659294755221697,,,0.28128450030949853,-1.2300845002456753,2.1449355920352398,-0.659294755221697,1.5113690005551739,-2.1449355920352398,-0.0881574202736572,0.6679953391292935,0.21111146930806718,-0.32124531915446264,0.29356547884127493,0.24189040079032348,-0.3212453191544623
EQR,Real Estate,,0.04438117636295731,,0.0028438580949789183,,0.0028438580949789183,,,0.09213523706193241,0.06309268230731833,-0.029875,1.093015367026763,,,-0.49734366285989595,-0.03881724892883383,0.3663008636103358,1.093015367026763,-0.45852641393106214,-0.3663008636103358,0.18053540851621322,0.775114936173952,0.19047672264855184,-0.4492135439339425,0.24558779563140032,0.18800689301863413,-0.34547676821828055
EQT,Energy,,0.051233395505593145,,0.009696077237614752,,0.009696077237614752,,,0.07176958992285044,0.6055207241471859,-0.03695,-0.29911472848179066,,,-1.3302365476210465,0.3717585218548077,1.8072960835135818,-0.29911472848179066,-1.701995069475854,-1.8072960835135818,-1.1619031358857743,0.9742286824417621,0.41017249632946384,-0.8578780408929156,3.147444334813499,0.4266570369581332,-0.32698089579737066
ERIE,Financial Services,,0.04146187386546102,,-7.54444025173745e-05,,-7.54444025173745e-05,,,,0.16205812864975705,-0.008025,-0.8285695544786926,,,,0.4732311513329023,0.9416116493683095,-0.8285695544786926,,-0.9416116493683095,-0.519750151665139,0.4086190049866744,0.2092857966412256,-0.4630449652610983,0.3927999262237991,0.3005074522972728,-0.4630449652610983
ES,Utilities,,0.031352683068123784,,-0.01018463519985461,,-0.01018463519985461,,,0.11921992231394475,0.04461930598497194,-0.0219,-1.0385255281632977,,,0.8403113926341892,0.7715248161410722,-0.7473837852366633,-1.0385255281632977,0.06878657649311704,0.7473837852366633,-0.23841882362073963,0.5211615830370563,0.1989370124925315,-0.3914881135992214,0.0062885287615541685,0.23191072756758271,-0.39148811359922164
ESS,Real Estate,,0.05606327949925956,,0.014525961231281165,,0.014525961231281165,,,0.09070913224636586,0.05372174338460653,-0.03635,1.616308230765303,,,-0.5322445927508658,-0.7161857417659422,0.18549597720763678,1.616308230765303,0.1839411490150764,-0.18549597720763678,0.6830005564706244,0.7508160401058401,0.2098661806620741,-0.3787391443874015,0.26133643578692767,0.21711763850055732,-0.3787391443874014
