symbol,ttm_eps
MSI,12.43
MTB,15.45
MTCH,2.1100000000000003
MTD,39.44
MU,7.59
NCLH,1.08
NDAQ,2.7
NDSN,7.959999999999997
NEE,2.8600000000000003
NEM,5.99
NFLX,23.939999999999998
NI,1.88
NKE,1.9500000000000002
NOC,27.800000000000004
NOW,7.949999999999999
NRG,9.19
NSC,13.200000000000003
NTAP,5.65
NTRS,8.53
NUE,5.810000000000006
NVDA,3.5100000000000016
NVR,472.9599999999998
NWS,2.07
NWSA,2.07
NXPI,7.530000000000001
O,0.96
ODFL,4.920000000000002
OKE,5.520000000000001
OMC,6.779999999999999
ON,1.0700000000000003
ORCL,4.3199999999999985
ORLY,20.400000000000006
OTIS,3.789999999999999
OXY,1.6899999999999986
PANW,2.2300000000000004
PAYC,7.410000000000004
PAYX,4.460000000000001
PCAR,5.830000000000002
PCG,1.19
PEG,3.49
PEP,5.259999999999998
PFE,1.17
PFG,4.970000000000001
PG,6.51
PGR,17.790000000000003
PH,27.119999999999997
PHM,12.969999999999999
PKG,9.829999999999998
PLD,3.7
PLTR,0.27
PM,5.270000000000001
PNC,14.879999999999995
PNR,3.8100000000000005
PNW,1.4600000000000026
PODD,3.5799999999999983
POOL,8.59
PPG,4.43
PPL,1.3299999999999998
PRU,4.540000000000001
PSA,10.239999999999998
PSX,3.4499999999999957
PTC,4.25
PWR,6.459999999999999
PYPL,4.66
QCOM,10.349999999999998
RCL,13.589999999999998
REG,2.13
REGN,39.74000000000001
RF,2.1999999999999993
RJF,10.920000000000002
RL,12.240000000000002
RMD,9.510000000000003
ROK,8.52
ROL,1.0100000000000005
ROP,15.130000000000003
ROST,6.609999999999996
RSG,6.760000000000002
RTX,4.87
RVTY,2.3499999999999996
SBAC,7.349999999999998
SBUX,2.3200000000000003
SCHW,3.95
SHW,10.079999999999998
SJM,-13.72
SLB,2.59
SMCI,1.990000000000002
SNA,19.08
SNPS,12.730000000000002
SO,3.869999999999999
SOLV,1.6500000000000004
SPG,7.049999999999997
SPGI,13.000000000000002
SRE,4.18
STE,6.500000000000002
STLD,6.2499999999999964
STT,8.899999999999997
STX,6.77
STZ,6.91
SW,4
SWK,3.16
SWKS,2.4899999999999984
SYF,9.17
SYK,7.550000000000001
SYY,4.140000000000001
T,1.76
TAP,5.0699999999999985
TDG,30.15
TDY,16.78
TECH,0.4600000000000004
TEL,4.890000000000001
TER,2.88
TFC,3.6500000000000004
TGT,8.580000000000002
TJX,4.48
TKO,2.42
TMO,17.29
TMUS,10.390000000000002
TPL,20.059999999999988
TPR,0.8199999999999985
TRGP,6.969999999999998
TRMB,1.1600000000000001
TROW,8.94
TRV,25.430000000000007
TSCO,3.830000000000002
TSLA,1.5
TSN,2.2
TT,12.600000000000001
TTD,0.9999999999999998
TTWO,-24.129999999999995
TXN,5.48
TXT,4.559999999999999
TYL,6.989999999999999
UAL,10.069999999999997
UBER,5.869999999999999
UDR,0.3900000000000001
UHS,20.109999999999996
ULTA,26.049999999999997
UNH,22.570000000000007
UNP,11.769999999999996
UPS,6.709999999999999
URI,38.81999999999999
USB,4.159999999999999
V,9.570000000000002
VICI,2.6100000000000003
VLO,2.3399999999999963
VLTO,3.6100000000000003
VMC,7.160000000000002
VRSK,6.460000000000001
VRSN,8.580000000000002
VRTX,14.110000000000005
VST,2.0600000000000005
VTR,0.43
VTRS,-3.4099999999999997
VZ,4.29
WAB,6.890000000000001
WAT,12.260000000000002
WBD,0.05000000000000071
WDAY,2.1499999999999995
WDC,4.55
WEC,5.889999999999999
WELL,1.7800000000000002
WFC,5.83
WM,6.75
WMB,1.79
WMT,2.660000000000002
WRB,4.919999999999998
WSM,8.870000000000001
WST,6.7499999999999964
WTW,30.23
WY,0.37000000000000033
WYNN,3.4700000000000006
XEL,3.21
XOM,7.040000000000003
XYL,4.279999999999999
XYZ,7.29
YUM,5.07
ZBH,4.039999999999999
ZBRA,10.590000000000002
ZTS,5.809999999999999
