Date,SPY,MCK,AVGO,PWR,HYG
2020-02-01,272.2840270996094,134.47015380859375,23.498661041259766,37.62513732910156,63.1085319519043
2020-03-01,236.89059448242188,130.40939331054688,20.43699073791504,31.309879302978516,56.7665901184082
2020-04-01,268.5415954589844,136.18458557128906,23.810428619384766,35.878578186035156,59.50421142578125
2020-05-01,281.33642578125,152.97991943359375,25.53296661376953,36.50025177001953,61.28260803222656
2020-06-01,285.0712585449219,148.30580139160156,27.6666259765625,38.77348709106445,60.967525482177734
2020-07-01,303.1881103515625,145.1544647216797,28.05262565612793,39.55542755126953,64.03296661376953
2020-08-01,324.349609375,148.3251190185547,30.744970321655273,50.718421936035156,64.03211212158203
2020-09-01,310.9600830078125,144.35948181152344,32.265621185302734,52.31173324584961,63.43447494506836
2020-10-01,304.4205017089844,142.96372985839844,31.246906280517578,61.841102600097656,63.67469787597656
2020-11-01,337.5343322753906,174.38877868652344,35.8897590637207,67.69532775878906,65.80695343017578
2020-12-01,348.5537109375,168.9768829345703,39.13125228881836,71.34062194824219,66.84016418457031
2021-01-01,346.4723205566406,169.51123046875,40.6048698425293,69.86416625976562,67.12908172607422
2021-02-01,356.106201171875,164.70193481445312,42.35073471069336,83.1291275024414,66.72000122070312
2021-03-01,371.05792236328125,189.49658203125,41.791011810302734,87.22364807128906,67.53809356689453
2021-04-01,391.9702453613281,182.6818389892578,41.440025329589844,95.80918884277344,67.98098754882812
2021-05-01,394.5440368652344,187.38619995117188,42.905242919921875,94.59392547607422,68.0081787109375
2021-06-01,402.0772399902344,186.66957092285156,43.31491470336914,89.85183715820312,68.91077423095703
2021-07-01,413.2405090332031,198.95870971679688,44.437625885009766,90.23889923095703,68.9844741821289
2021-08-01,425.53839111328125,199.2613067626953,45.51881790161133,101.3574447631836,69.41106414794922
2021-09-01,404.4105224609375,195.07080078125,44.394596099853516,112.99219512939453,69.16108703613281
2021-10-01,434.1717834472656,203.38711547851562,49.03028106689453,120.46033477783203,68.93360900878906
2021-11-01,430.683349609375,212.07516479492188,51.060035705566406,113.01103210449219,68.13572692871094
2021-12-01,449.0238952636719,243.71070861816406,61.363712310791016,113.88508605957031,69.44698333740234
2022-01-01,426.83612060546875,251.7013702392578,54.375125885009766,102.0257797241211,68.05868530273438
2022-02-01,414.2372131347656,269.5847473144531,54.51991653442383,108.26985168457031,67.23103332519531
2022-03-01,428.4774169921875,300.6585693359375,58.4401741027832,130.80039978027344,66.36116027832031
2022-04-01,392.0846862792969,304.0763244628906,51.80049133300781,115.26654052734375,63.562191009521484
2022-05-01,392.96966552734375,322.8153991699219,54.20555877685547,118.33052825927734,64.60955047607422
2022-06-01,359.014404296875,320.82977294921875,45.39259719848633,124.63485717773438,60.05599594116211
2022-07-01,393.768798828125,335.94635009765625,50.448402404785156,138.03021240234375,64.03997039794922
2022-08-01,377.7022705078125,360.94708251953125,47.02191925048828,140.58724975585938,61.3163948059082
2022-09-01,341.3829040527344,334.7611389160156,41.830867767333984,126.7474136352539,58.962303161621094
2022-10-01,370.6452941894531,383.51708984375,44.66211700439453,141.40090942382812,60.94647216796875
2022-11-01,391.25,375.9427185058594,52.34869384765625,149.20562744140625,63.107669830322266
2022-12-01,367.01763916015625,370.004638671875,53.11820602416992,141.8588409423828,61.64950942993164
2023-01-01,391.8897705078125,373.51611328125,56.04056930541992,151.59022521972656,64.51837158203125
2023-02-01,382.03662109375,345.0397644042969,56.929534912109375,160.763916015625,62.996944427490234
2023-03-01,394.69525146484375,351.7291564941406,61.455810546875,165.98326110839844,64.16845703125
