,sector,mcap,EP,FCP,EP_sn,FCP_sn,EP_use,FCP_use,ShYield,GPA,AssetGrowth,Accruals,EP_z,FCP_z,ShYield_z,GPA_z,Accruals_z,AssetGrowth_z,Value,Quality,Stability,Score2,beta_spy,downside_dev,max_dd_monthly,ret_5y,vol_5y,dd_5y
ADBE,Technology,,0.04896773024086064,,0.007430411972882245,,0.007430411972882245,,,0.7061497189139313,-0.036071069393228294,-0.025025,0.9500106378754395,,,2.3932438645470153,-0.3717711318201996,-1.2106756464848336,0.9500106378754395,2.765014996367215,1.2106756464848336,1.7281453829940285,1.2437133422173439,0.28498270458081126,-0.5891617194338095,-0.31667604787573755,0.35192805821282225,-0.5891617194338095
CF,Basic Materials,,0.09301475208513228,,0.05147743381715389,,0.05147743381715389,,,0.1688524288630971,-0.0018148820326678765,-0.046225,1.7414296166937469,,,0.17449915200725125,-2.027543713801244,-0.7218655268191912,1.7414296166937469,2.202042865808495,0.7218655268191912,1.7217620983647353,1.0046163576639104,0.3398379475526358,-0.4797987478127347,1.4379856289983244,0.3298458627274905,-0.42541138451722726
NEM,Basic Materials,,0.07183115534047557,,0.03029383707249718,,0.03029383707249718,,,0.16563922440055912,-0.009213693020582637,-0.04795,1.2761260517557322,,,0.12395869532074885,-2.1545697388065146,-0.8722188262394852,1.2761260517557322,2.2785284341272636,0.8722188262394852,1.5963055596010958,0.28882690149110546,0.29436743967711737,-0.5769595085457699,0.6664478551529263,0.3583432956536859,-0.57695950854577
DVN,Energy,,0.11188809269463294,,0.07035077442665455,,0.07035077442665455,,,0.1551312261314699,0.24751609569986488,-0.084525,2.0624962647813514,,,-0.10570622274397658,-2.178321579663028,0.34869348831292807,2.0624962647813514,2.0726153569190515,-0.34869348831292807,1.5843059510175759,2.086909805463173,0.5119453259325067,-0.8510424084918894,2.123333031933611,0.3972671109767777,-0.5576805423102582
DPZ,Consumer Cyclical,,0.043688137695600655,,0.0021508194276222622,,0.0021508194276222622,,,0.9194153815402877,-0.02409097815416545,-0.034675,-0.15032523491081695,,,2.5459680626546426,-1.1354873833895047,-0.8062390215306658,-0.15032523491081695,3.681455446044147,0.8062390215306658,1.5736998887594653,0.7629693168318834,0.28583345328424575,-0.4781290265086464,0.11094205491389442,0.3221171753760612,-0.4781290265086464
VRSN,Technology,,0.0354589410121716,,-0.006078377255806795,,-0.006078377255806795,,,0.9194153815402877,-0.0646468673177862,-0.02345,0.1714128533197204,,,2.8092380441064586,-0.21514082970618853,-1.382164572363586,0.1714128533197204,3.024378873812647,1.382164572363586,1.5547496053256644,0.7961930638896166,0.2412295397856872,-0.3407533080964317,0.21228517581130513,0.24189066830894937,-0.34075330809643156
BMY,Healthcare,,0.053330479186940845,,0.011793160918962452,,0.011793160918962452,,,0.3592089475488516,0.0003169706062591129,-0.06425,0.7382253059621673,,,0.22367972485486545,-2.4854678211668837,-0.8165875592999641,0.7382253059621673,2.7091475460217493,0.8165875592999641,1.5422666526535596,0.48523172520569724,0.25798386323474165,-0.4575348317892155,-0.09099069846684582,0.22873361481462887,-0.4575348317892154
VRSK,Industrials,,0.030094101787906963,,-0.01144321648007143,,-0.01144321648007143,,,0.44221094804453476,0.0056628704461083494,-0.0481249999999999,-0.630311311491823,,,1.745145282123361,-2.429314787112541,-0.617477953888667,-0.630311311491823,4.174460069235902,0.617477953888667,1.541155093875365,0.7965821828759273,0.21344394784980777,-0.31451665873722945,0.11684160569721169,0.2553118239053869,-0.31451665873722956
CI,Healthcare,,0.07778366106454886,,0.03624634279657046,,0.03624634279657046,,,0.9194153815402877,-0.02441362273715631,-0.00575,1.6446413018142891,,,2.7836133512587433,1.2655320060783233,-1.1268305137770196,1.6446413018142891,1.51808134518042,1.1268305137770196,1.4904551615532875,0.5563372883258526,0.26849534782167195,-0.33720050583745464,0.37511347581568244,0.29145077762829275,-0.3089207411007926
IT,Technology,,0.07034739768729789,,0.028810079419319498,,0.028810079419319498,,,0.5258556724788355,0.12072576116222557,-0.023075,1.916910106291581,,,1.550206590893283,-0.17764054198015636,-0.12581967922925055,1.916910106291581,1.7278471328734393,0.12581967922925055,1.4830668315118585,1.327275627223895,0.3132386209922634,-0.5752445515811313,0.5169079429224919,0.3304001110236287,-0.5752445515811313
