,mcap,EP,FCP,ShYield,ROA,ROE,GPA,AssetGrowth,Accruals_est,Accruals_dolt,Accruals,ret_1y,vol_1y,dd_1y,ret_2y,vol_2y,dd_2y,ret_5y,vol_5y,dd_5y,downside_dev,beta_spy,max_dd_monthly,EP_z,FCP_z,ShYield_z,GPA_z,AssetGrowth_z,Accruals_z,Score
APA,,,,,0.05736650082918739,,0.2166766169154229,-0.10482792770487745,,-0.092125,-0.084981,0.04544374874708401,0.3799084010588893,-0.3086556365479248,-0.3196516497207116,0.3336845404921691,-0.5398165920066007,0.9921183575989219,0.4233800985193517,-0.6388631011112789,0.5471379763113261,2.839403259533051,-0.9308360839583967,,,,-0.30124596507555107,-1.1350502752945744,-3.6496766260197386,4.483480936238762
APD,,,,,0.038732530704367496,,0.09600071944333072,0.12670422428551723,,-0.0237,-0.0237,-0.26581855300698654,0.2763544771354434,-0.2723231602576025,-0.06832614761961542,0.2553372455246537,-0.2723231602576025,-0.0350678150608722,0.26160145500615,-0.2723231602576025,0.2005842674320219,0.8294504083523815,-0.2723231602576025,,,,-0.9753589027772622,0.29486208645210954,-0.04483605940043384,-1.225384929828938
APH,,,,,0.14195675491063806,,0.29174865479936113,0.3810015710073816,,-0.011025,-0.011025,0.9638999816029019,0.280174579781837,-0.07092527427662076,2.1626796733787006,0.22555439544264053,-0.09285305545317302,3.5340439256199705,0.24076570962269073,-0.25959960953651307,0.20259557659359306,1.2342212193515896,-0.3244975462378513,,,,0.11811724710937813,1.865369320592367,0.7007678664803397,-2.4480199399633285
APO,,,,,0.008631937785481358,,0.06195830202686559,0.21080853323482557,,-0.000325,-0.000325,-0.2846745018087906,0.19976757614508509,-0.2677306428605427,0.3812257769258647,0.2826380888757269,-0.2846745018087905,2.1702849317265773,0.3642084301791961,-0.37938464110654846,0.2989445280449145,1.6179819441464982,-0.37938464110654835,,,,-1.1655247477537896,0.8142793250901689,1.330192876888567,-3.3099969497325255
APP,,,,,0.3522235906378823,,0.7480861753453019,0.13094894245451058,,-0.05745,-0.05745,0.8771789596093174,0.7790993890203962,-0.28307041898812835,15.866062496507684,0.9178777532975844,-0.28307041898812846,9.897087277001145,0.8354151315978996,-0.8928244301987666,0.5713531265711235,2.501300580704778,-0.8928244301987666,,,,2.6672843384904947,0.3210769120380876,-2.0301719567161034,4.37637938316851
APTV,,,,,0.04253264474954864,,0.1587941386404669,-0.0326855480586643,,-0.0255499999999999,-0.0255499999999999,0.4725373391067407,0.27694684648449247,-0.12377151463977887,-0.012916462362696168,0.33324165556653285,-0.3810744758830523,-0.3111204823474326,0.361160146576147,-0.6788131240943159,0.3760493031493215,1.881745146579755,-0.6788131240943158,,,,-0.6245858224021541,-0.689508351310634,-0.1536618789569906,0.21858440786547054
ARE,,,,,-0.00027080203063702205,,0.055406693195250656,-0.005924667084920114,,-0.0183499999999999,-0.0183499999999999,-0.46278750408646274,0.4045209097790812,-0.42873371620192813,-0.43538947369560965,0.33373877406862523,-0.5304003004141311,-0.585495163352759,0.3153339311214428,-0.7045529425183532,0.2810089965584315,1.0520574057558463,-0.7045529425183533,,,,-1.2021229779610587,-0.5242366420182851,0.2698764458036854,-0.947762781746459
ARM,,,,,0.08009395857801713,,0.4586782778080151,0.19225888324873097,,,,0.2560875799313902,0.5781953766322743,-0.3306800446698531,1.742764108549287,0.8842204258716113,-0.3473291522894715,2.15171881975035,0.8632524199084846,-0.3473291522894716,0.3828946737403693,4.055629028527995,-0.3473291522894716,,,,1.0506101550807212,0.6997191070246829,,0.3508910480560383
ASML,,,,,0.21697818728429144,,0.3720669723206755,0.10083454014383544,,,,0.5685967588981682,0.3761334378238028,-0.13091975420922142,0.5877793126778597,0.36550613018907946,-0.34801396258711037,1.549605808198037,0.3828721867869292,-0.4954725718338534,0.2790413447097461,1.4624899770525117,-0.4954725718338536,,,,0.5667869326865949,0.13509429251648564,,0.4316926401701092
ATO,,,,,0.04353564175431402,,0.10072718699363495,0.11334408222391072,,-0.01995,-0.01995,0.16032386356238693,0.14410087443338604,-0.03525363403222248,0.5836773615794704,0.1411907520094602,-0.07963262301251617,1.031005033786927,0.19858094905449786,-0.15610890675260236,0.1612459020283795,0.5311564666853882,-0.25545013221432167,,,,-0.9489561745437785,0.2123515922319569,0.17575681807908497,-1.3370645848548204
AVB,,,,,0.05435027458738558,,0.08800038639779031,0.03807167646763825,,-0.0319,-0.0319,-0.2293354227623714,0.1522246264340689,-0.21087195995352204,0.08510591894340758,0.17956357132470907,-0.2357074437250577,0.2464278273800644,0.19160996664916222,-0.33924738755381445,0.20412868252842847,0.8605482592983176,-0.33924738755381467,,,,-1.0200499150249114,-0.2525209646204128,-0.5271991514889816,-0.2403297989155171
AVGO,,,,,0.11452180251461617,,0.24224881815459717,-0.013961158805948823,,-0.032375,-0.032375,1.2587968256781021,0.5597116888226079,-0.27563567958607005,3.0157173593024567,0.439879418798126,-0.27563567958607016,9.101769260129613,0.3696127966832168,-0.3169656664441497,0.2640683099282912,1.1041313527064303,-0.3169656664441498,,,,-0.15839596717248394,-0.5738689663334435,-0.5551409159697208,0.9706139151306804
