,mcap,EP,FCP,ShYield,ROA,ROE,GPA,AssetGrowth,Accruals_est,Accruals_dolt,Accruals,ret_1y,vol_1y,dd_1y,ret_2y,vol_2y,dd_2y,ret_5y,vol_5y,dd_5y,downside_dev,beta_spy,max_dd_monthly,EP_z,FCP_z,ShYield_z,GPA_z,AssetGrowth_z,Accruals_z,Score
KR,,,,,0.04916348164707579,,0.61265955145309,0.041735513092160254,,-0.05525,-0.05525,0.0541149993652017,0.14405752783932604,-0.11270722011013035,0.4884749446601868,0.1956473595905274,-0.12141273781214701,1.1272743471378215,0.2368641029196235,-0.23227917942973952,0.24491093369639266,0.4696006151992895,-0.5077192110688538,,,,1.9107717192566807,-0.22989358766310106,-1.9007574685947857,4.041422775514567
VTRS,,,,,-0.08503788737867886,,0.1267195206121806,-0.15262519302889918,,-0.0794499999999999,-0.0794499999999999,-0.16439549189244929,0.3386825255441987,-0.31517891719760927,0.24048125010883603,0.315658419483444,-0.34866135711373714,-0.24290683599654672,0.3374594241650368,-0.520512006727369,0.3487735479534445,1.1660440263835397,-0.8338153200006108,,,,-0.8037592566805997,-1.4302399496312088,-3.3243168379292745,3.9507975308798837
WBD,,,,,0.007414934624510317,,0.16060864255042856,-0.058336187505206936,,-0.149725,-0.084981,1.1269085772088574,0.7613127443359499,-0.24345549324310112,1.133014480609337,0.6341616533206045,-0.3532513128734718,-0.1716833503560593,0.6152228763473089,-0.8612106297768239,0.38425168738746035,1.5800824700443439,-0.8612106297768239,,,,-0.6144497423162498,-0.8479233537887351,-3.6496766260197386,3.8831502374922238
LULU,,,,,0.2409842358928999,,0.8695925767274003,0.11555284702930768,,-0.034425,-0.034425,-0.4839705628050056,0.4896023689478519,-0.6005070102750368,-0.6296553139178329,0.4206350311290411,-0.676367622180583,-0.5530495362889376,0.38429559092678056,-0.6763676221805828,0.35826068706172043,1.1187210154320315,-0.676367622180583,,,,3.3460365906060607,0.22599263548351856,-0.6757316889918575,3.7957756441144
TPR,,,,,0.02101670610167061,,0.6067426686742668,-0.24556952742613594,,-0.017775,-0.017775,0.7383884257832913,0.39244440880268766,-0.17215507772987948,2.539894752228833,0.4155442926867363,-0.17215507772987948,3.2359150758490154,0.40485227575755023,-0.38482534739439234,0.4010998231340465,1.4938676768380517,-0.7371898812916584,,,,1.8777191601655698,-2.0042520320414305,0.3037006870172059,3.5782705051897947
BBY,,,,,0.050865464768473874,,0.6131315277618868,-0.023745519713261647,,-0.0395,-0.0395,-0.047857740086905576,0.27591347964753804,-0.2570153824430109,0.2625818448697115,0.30287094375072965,-0.346385261786086,-0.07948248339943764,0.319183533292721,-0.4606642014110728,0.29520398331601566,1.4701714744969085,-0.4606642014110729,,,,1.91340824687084,-0.6342959026914576,-0.9742673831808065,3.521971532743104
MTCH,,,,,0.12920944647012078,,0.5963459504535593,-0.1146992775574975,,-0.030025,-0.030025,0.016011245234137883,0.24687315271550891,-0.1641411354495793,0.027307200687115563,0.30441361554460533,-0.2179608042528014,-0.7610501890859557,0.4067476167653837,-0.8138625496481853,0.37353495047352,0.9649030365993911,-0.8138625496481855,,,,1.8196415953076919,-1.1960144440290026,-0.4169027127492223,3.432558752085917
BMY,,,,,0.05409024682893383,,0.3592089475488516,0.0003169706062591129,,-0.06425,-0.06425,-0.1842699906768822,0.22942787405615017,-0.2727194623975929,0.027746391581314978,0.2688035568048888,-0.2727194623975928,-0.1040348509331207,0.22865952763595998,-0.4575345962764671,0.2557504800395173,0.488303159204439,-0.4575345962764673,,,,0.49496015506532115,-0.48568910200953735,-2.430180374545631,3.4108296316204894
EOG,,,,,0.12287047903838631,,0.326511363697261,0.02343888200955245,,-0.069675,-0.069675,-0.17984954165218447,0.22768581938748247,-0.1537636898577206,-0.07433426046229008,0.20750006268165685,-0.17984954165218447,1.8681265622096808,0.324367781726128,-0.21780268977368666,0.3700724914565859,1.314934410328238,-0.722578330374511,,,,0.3123067440058244,-0.3428911939930629,-2.749304737299335,3.404502675298222
CLX,,,,,0.1462952092834244,,0.5803043301575834,-0.033037732568249004,,-0.038925,-0.038925,-0.32262526263593005,0.14946036708266297,-0.3027723590328064,-0.18359056295117326,0.22685570959367324,-0.32262526263593005,-0.370279727513839,0.24549190652369257,-0.39301679841477954,0.19797781445406482,0.3859531992849877,-0.45681741100700113,,,,1.7300307947274307,-0.691683396890877,-0.9404431419672804,3.362157333585588
